,BRANCH,ADDRESS,CITY,ZIP,YEAR,MONTH,CIRCULATION,MONTH_NUM
268,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,MAY,7270,5
269,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,JUNE,6774,6
270,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,JULY,8164,7
271,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,AUGUST,7154,8
272,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,SEPTEMBER,7539,9
273,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,OCTOBER,8791,10
274,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,NOVEMBER,8300,11
275,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,DECEMBER,6899,12
276,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,JANUARY,6695,1
277,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,FEBRUARY,6682,2
278,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,MARCH,7986,3
279,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,APRIL,8059,4
280,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,MAY,6509,5
281,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,JUNE,6417,6
282,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,JULY,7360,7
283,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,AUGUST,6664,8
284,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,SEPTEMBER,7298,9
285,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,OCTOBER,8327,10
286,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,NOVEMBER,6705,11
287,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2014,DECEMBER,6515,12
288,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,JANUARY,3769,1
289,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,FEBRUARY,3498,2
290,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,MARCH,2681,3
291,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,APRIL,0,4
292,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,MAY,0,5
293,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,JUNE,1398,6
294,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,JULY,2151,7
295,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,AUGUST,2103,8
296,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,SEPTEMBER,2194,9
297,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,OCTOBER,2365,10
298,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,NOVEMBER,1954,11
299,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2020,DECEMBER,1816,12
